,,,,,android_avg_rating,android_file_size,android_rating_1,android_rating_2,android_rating_3,android_rating_4,android_rating_5,android_total_ratings,ios_all_ratings,ios_current_ratings,ios_file_size
2016,7,21,21,0,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,108886.0,7231.0,110.0
2016,7,21,21,10,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,108886.0,7231.0,110.0
2016,7,21,21,20,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,108886.0,7231.0,110.0
2016,7,21,21,30,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,108886.0,7231.0,110.0
2016,7,21,21,40,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,108886.0,7231.0,110.0
2016,7,21,21,50,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,108886.0,7231.0,110.0
2016,7,21,22,0,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,108886.0,7231.0,110.0
2016,7,21,22,10,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,108886.0,7231.0,110.0
2016,7,21,22,20,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,108886.0,7231.0,110.0
2016,7,21,22,30,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,108886.0,7231.0,110.0
2016,7,21,22,40,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,108886.0,7231.0,110.0
2016,7,21,22,50,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,108886.0,7231.0,110.0
2016,7,21,23,0,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,108886.0,7231.0,110.0
2016,7,21,23,10,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,108886.0,7231.0,110.0
2016,7,21,23,20,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,108886.0,7759.0,110.0
2016,7,21,23,30,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,108886.0,7759.0,110.0
2016,7,21,23,40,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,109369.0,7759.0,110.0
2016,7,21,23,50,3.904022693634033,58.0,207257.0,73972.0,123459.0,175799.0,764122.0,1344609.0,109369.0,7759.0,110.0
2016,7,22,0,0,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109369.0,7759.0,110.0
2016,7,22,0,10,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109369.0,7759.0,110.0
2016,7,22,0,20,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109369.0,7759.0,110.0
2016,7,22,0,30,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109369.0,7759.0,110.0
2016,7,22,0,40,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109369.0,7759.0,110.0
2016,7,22,0,50,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109369.0,7759.0,110.0
2016,7,22,1,0,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109369.0,7759.0,110.0
2016,7,22,1,10,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109369.0,7759.0,110.0
2016,7,22,1,20,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109369.0,7759.0,110.0
2016,7,22,1,30,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109369.0,7759.0,110.0
2016,7,22,1,40,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109369.0,7759.0,110.0
2016,7,22,1,50,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109369.0,7759.0,110.0
2016,7,22,2,0,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109369.0,7759.0,110.0
2016,7,22,2,10,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109369.0,7759.0,110.0
2016,7,22,2,20,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109369.0,7759.0,110.0
2016,7,22,2,30,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109369.0,7759.0,110.0
2016,7,22,2,40,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109369.0,7759.0,110.0
2016,7,22,2,50,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109369.0,7759.0,110.0
2016,7,22,3,0,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109369.0,7759.0,110.0
2016,7,22,3,10,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109369.0,7759.0,110.0
2016,7,22,3,20,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109777.0,8196.0,110.0
2016,7,22,3,30,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109777.0,8196.0,110.0
2016,7,22,3,40,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109777.0,8196.0,110.0
2016,7,22,3,50,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109777.0,8196.0,110.0
2016,7,22,4,0,3.905270576477051,58.0,208991.0,74479.0,124537.0,177363.0,771895.0,1357265.0,109777.0,8196.0,110.0
2016,7,22,4,10,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109777.0,8196.0,110.0
2016,7,22,4,20,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109777.0,8196.0,110.0
2016,7,22,4,30,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109777.0,8196.0,110.0
2016,7,22,4,40,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109777.0,8196.0,110.0
2016,7,22,4,50,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109777.0,8196.0,110.0
2016,7,22,5,0,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109777.0,8196.0,110.0
2016,7,22,5,10,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109777.0,8196.0,110.0
2016,7,22,5,20,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109777.0,8196.0,110.0
2016,7,22,5,30,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109777.0,8196.0,110.0
2016,7,22,5,40,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109777.0,8196.0,110.0
2016,7,22,5,50,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109777.0,8196.0,110.0
2016,7,22,6,0,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109777.0,8196.0,110.0
2016,7,22,6,10,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109777.0,8196.0,110.0
2016,7,22,6,20,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109777.0,8196.0,110.0
2016,7,22,6,30,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109777.0,8196.0,110.0
2016,7,22,6,40,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109777.0,8196.0,110.0
2016,7,22,6,50,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109777.0,8196.0,110.0
2016,7,22,7,0,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109777.0,8196.0,110.0
2016,7,22,7,10,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109777.0,8196.0,110.0
2016,7,22,7,20,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109991.0,8196.0,110.0
2016,7,22,7,30,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109777.0,8435.0,110.0
2016,7,22,7,40,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109991.0,8435.0,110.0
2016,7,22,7,50,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109991.0,8435.0,110.0
2016,7,22,8,0,3.905083417892456,58.0,211006.0,75228.0,125886.0,179345.0,779256.0,1370721.0,109991.0,8435.0,110.0
2016,7,22,8,10,3.902027130126953,58.0,214408.0,76578.0,127976.0,181820.0,788267.0,1389049.0,109991.0,8435.0,110.0
2016,7,22,8,20,3.902027130126953,58.0,214408.0,76578.0,127976.0,181820.0,788267.0,1389049.0,109991.0,8435.0,110.0
2016,7,22,8,30,3.902027130126953,58.0,214408.0,76578.0,127976.0,181820.0,788267.0,1389049.0,109991.0,8435.0,110.0
2016,7,22,8,40,3.902027130126953,58.0,214408.0,76578.0,127976.0,181820.0,788267.0,1389049.0,109991.0,8435.0,110.0
2016,7,22,8,50,3.902027130126953,58.0,214408.0,76578.0,127976.0,181820.0,788267.0,1389049.0,109991.0,8435.0,110.0
